быть be was been
бить beat beat beaten
становиться become became become
начинать begin began begun
дуть blow blew blown
ломать break broke broken
приносить bring brought brought
строить build built built
гореть burn burnt burnt
покупать buy bought bought
ловить,_хватать catch caught caught
выбирать choose chose chosen
приходить come came come
стоить cost cost cost
ползать creep crept crept
резать cut cut cut
делать do did done
рисовать,_тащить draw drew drawn
мечтать,_дремать dream dreamt dreamt
пить drink drank drunk
водить drive drove driven
есть eat ate eaten
падать fall fell fallen
кормить feed fed fed
чувствовать feel felt felt
бороться fight fought fought
находить find found found
летать fly flew flown
забывать forget forgot forgotten
прощать forgive forgave forgiven
замерзать freeze froze frozen
получать get get got
давать give gave given
идти go went gone
расти grow grew grown
иметь have had had
слышать hear heard heard
прятать hide hid hidden
держать hold held held
содержать keep kept kept
знать know knew known
вести lead led led
учить learn learnt learnt
оставлять leave left left
занимать lend lent lent
позволять let let let
лежать lie lay lain
терять lose lost lost
производить make made made
значить mean meant meant
встречать meet met met
платить pay paid paid
положить put put put
выходить quit quit quit
читать read read read
ездить_верхом ride rode ridden
подниматься rise rose risen
бежать run ran run
говорить say said said
видеть see saw seen
искать seek sought sought
продавать sell sold sold
посылать send sent sent
ставить set set set
встряхивать shake shook shaken
показывать show showed shown
уменьшать shrink shrank shrunk
закрывать shut shut shut
петь sing sang sung
сидеть sit sat sat
спать sleep slept slept
скользить slide slid slid
сеять sow sowed sown
говорить speak spoke spoken
произносить_по_буквам spell spelt spelt 
тратить spend spent spent
проливать spill spilt spilt
портить spoil spoilt spoilt
распространять spread spread spread
прыгать spring sprang sprung
стоять stand stood stood
красть steal stole stolen
колоть stick stuck stuck
выметать sweep swept swept
разбухать swell swelled swollen
плавать swim swam swum
качать swing swung swung
брать,_взять take took taken
учить teach taught taught
рвать tear tore torn
рассказывать tell told told
думать think thought thought
бросать throw threw thrown
понимать understand understood understood
просыпаться wake woke woken
носить wear wore worn
плакать weep wept wept
мочить wet wet wet
выигрывать win won won
писать write wrote written
